"","Water2","TAXON","p_lit","adjp_lit","tp_2"
"1","Barren Lake","SMB",0.818429118773946,0.818429118773946,3.12580854180753
"2","Barren Lake","SMB",1.277969348659,1,2.99516283524904
"3","Barren Lake","SMB",0.542528735632183,0.542528735632183,3.24428668018932
"4","Barren Lake","SMB",1.14049808429119,1,3.19827304485012
"5","Barren Lake","SMB",0.737701149425286,0.737701149425286,3.10853617308993
"6","Barren Lake","SMB",0.481264367816093,0.481264367816093,3.26111392832995
"7","Barren Lake","YPERCH",1.06770114942529,1,2.92985970250169
"8","Barren Lake","YPERCH",0.573678160919541,0.573678160919541,3.14001859364435
"9","Barren Lake","YPERCH",0.542183908045977,0.542183908045977,3.32387592968222
"10","Barren Lake","YPERCH",0.887777777777778,0.887777777777778,2.79599673202614
"11","Barren Lake","YPERCH",0.657816091954023,0.657816091954023,3.04082995267072
"12","Barren Lake","YPERCH",0.661800766283525,0.661800766283525,2.95054372323642
"13","Barren Lake","YPERCH",0.3972030651341,0.3972030651341,3.09555724588686
"14","Barren Lake","YPERCH",0.52375478927203,0.52375478927203,3.05394974081587
"15","Barren Lake","YPERCH",-1.13919540229885,0,3.83340939824205
"16","Barren Lake","YPERCH",0.64639846743295,0.64639846743295,3.08494196529186
"17","Semi-barren Lake","SMB",0.650212765957447,0.650212765957447,3.59611764705882
"18","Semi-barren Lake","SMB",0.625148936170213,0.625148936170213,3.68866470588235
"19","Semi-barren Lake","SMB",0.73418439716312,0.73418439716312,3.90152941176471
"20","Semi-barren Lake","SMB",0.594780141843972,0.594780141843972,3.72312941176471
"21","Semi-barren Lake","SMB",0.697078014184397,0.697078014184397,3.76555294117647
"22","Semi-barren Lake","SMB",0.698765957446809,0.698765957446809,3.81331176470588
"23","Semi-barren Lake","SMB",0.610921985815603,0.610921985815603,3.78864705882353
"24","Semi-barren Lake","SMB",0.829390070921985,0.829390070921985,3.48512941176471
"25","Semi-barren Lake","SMB",0.887446808510638,0.887446808510638,3.72391176470588
"26","Semi-barren Lake","SMB",0.827829787234042,0.827829787234042,3.48448235294118
"27","Semi-barren Lake","SMB",0.718751773049645,0.718751773049645,3.32748235294118
"28","Semi-barren Lake","SMB",0.873248226950354,0.873248226950354,3.80331764705882
"29","Semi-barren Lake","SMB",0.687446808510639,0.687446808510639,3.93214705882353
"30","Semi-barren Lake","SMB",0.815163120567376,0.815163120567376,3.60864117647059
"31","Semi-barren Lake","SMB",0.879021276595744,0.879021276595744,3.52924117647059
"32","Semi-barren Lake","SMB",0.643602836879432,0.643602836879432,3.63455294117647
"33","Semi-barren Lake","SMB",0.664794326241134,0.664794326241134,3.69922352941177
"34","Semi-barren Lake","SMB",0.762765957446809,0.762765957446809,3.7575
"35","Semi-barren Lake","SMB",0.847673758865248,0.847673758865248,3.75741764705882
"36","Semi-barren Lake","SMB",0.511631205673759,0.511631205673759,3.57982352941176
"37","Semi-barren Lake","YPERCH",0.439234042553191,0.439234042553191,3.08803529411765
"38","Semi-barren Lake","YPERCH",0.149900709219858,0.149900709219858,2.85922352941176
"39","Semi-barren Lake","YPERCH",0.172524822695035,0.172524822695035,3.19213529411765
"40","Semi-barren Lake","YPERCH",0.0263971631205668,0.0263971631205668,3.15800588235294
"41","Semi-barren Lake","YPERCH",0.224893617021277,0.224893617021277,2.97561764705882
"42","Semi-barren Lake","YPERCH",0.514468085106383,0.514468085106383,3.11923529411765
"43","Semi-barren Lake","YPERCH",-0.162368794326241,0,2.80325294117647
"44","Semi-barren Lake","YPERCH",0.680382978723404,0.680382978723404,3.36451176470588
"45","Semi-barren Lake","YPERCH",0.639390070921986,0.639390070921986,3.95633529411765
"46","Semi-barren Lake","YPERCH",0.998212765957446,0.998212765957446,4.43749411764706
"47","Reference","SMB",0.693957943925234,0.693957943925234,3.95525135239142
"48","Reference","SMB",0.761303738317757,0.761303738317757,3.68982219351292
"49","Reference","SMB",0.645088785046729,0.645088785046729,3.96545930181418
"50","Reference","SMB",1.31509813084112,1,4.30645625618472
"51","Reference","SMB",0.424869158878504,0.424869158878504,4.11123675645959
"52","Reference","SMB",0.685616822429906,0.685616822429906,4.07155781198461
"53","Reference","SMB",0.544028037383177,0.544028037383177,3.64299321605278
"54","Reference","SMB",0.845093457943925,0.845093457943925,3.56224601429357
"55","Reference","SMB",0.46414953271028,0.46414953271028,4.18140068169324
"56","Reference","SMB",0.643504672897196,0.643504672897196,3.65876377130291
"57","Reference","SMB",0.698191588785047,0.698191588785047,3.68095403518417
"58","Reference","YPERCH",0.452920560747664,0.452920560747664,3.41387177020341
"59","Reference","YPERCH",0.694084112149532,0.694084112149532,3.68178670698186
"60","Reference","YPERCH",0.227163551401869,0.227163551401869,3.14504199560198
"61","Reference","YPERCH",0.698247663551402,0.698247663551402,4.59274752611325
"62","Reference","YPERCH",0.286084112149533,0.286084112149533,3.27528788345245
"63","Reference","YPERCH",0.196280373831775,0.196280373831775,3.25565921935129
"64","Reference","YPERCH",0.501915887850467,0.501915887850467,3.3507874106652
"65","Reference","YPERCH",0.406616822429906,0.406616822429906,3.2548084002199
"66","Reference","YPERCH",0.152990654205607,0.152990654205607,3.05990775151182
"67","Reference","YPERCH",0.685588785046729,0.685588785046729,3.56566106652007
"68","Reference","YPERCH",0.256154205607476,0.256154205607476,2.78051210005497
"69","Reference","YPERCH",0.266471962616822,0.266471962616822,3.07404384277075
"70","Reference","SMB",0.719231638418079,0.719231638418079,3.71350878032569
"71","Reference","SMB",1.56176271186441,1,3.73173591226321
"72","Reference","SMB",0.773355932203391,0.773355932203391,3.5820243668993
"73","Reference","SMB",0.601649717514125,0.601649717514125,3.76466505815886
"74","Reference","SMB",0.784542372881356,0.784542372881356,3.76385068793619
"75","Reference","SMB",0.753129943502825,0.753129943502825,3.51476501163177
"76","Reference","SMB",0.477446327683617,0.477446327683617,3.99140340312396
"77","Reference","SMB",0.628926553672317,0.628926553672317,3.72091512130276
"78","Reference","SMB",0.604112994350283,0.604112994350283,3.69625438351612
"79","Reference","SMB",0.592564971751413,0.592564971751413,3.77630485875706
"80","Reference","SMB",0.8274802259887,0.8274802259887,3.64465760053174
"81","Reference","SMB",0.474802259887005,0.474802259887005,3.80692894649385
"82","Reference","YPERCH",0.348316384180792,0.348316384180792,3.37261015619807
"83","Reference","YPERCH",0.723751412429378,0.723751412429378,3.08857823861748
"84","Reference","YPERCH",0.915819209039548,0.915819209039548,3.04668428049186
"85","Reference","YPERCH",0.54974011299435,0.54974011299435,3.07487468261881
"86","Reference","YPERCH",0.854824858757062,0.854824858757062,3.01559252907943
"87","Reference","YPERCH",0.251322033898305,0.251322033898305,3.49679605184447
"88","Reference","YPERCH",0.39342372881356,0.39342372881356,3.31450923230309
"89","Forested Lake","SMB",0.978478873239436,0.978478873239436,3.7945478044739
"90","Forested Lake","SMB",1.03192957746479,1,3.89613189726595
"91","Forested Lake","SMB",0.799619718309859,0.799619718309859,3.74557812758906
"92","Forested Lake","SMB",1.17988732394366,1,4.07038044739022
"93","Forested Lake","SMB",1.2276338028169,1,4.07916586578293
