Water,Site,TAXON,SIASAM,d13C,d15N,C.N
Daisy Lk.,,PSEED,11058,-27.72,7.53,3.26
Daisy Lk.,,PSEED,11059,-29.15,7.31,3.22
Daisy Lk.,,SMB,11060,-27.12,6.98,3.38
Daisy Lk.,,SMB,11061,-27.79,6.6,3.28
Daisy Lk.,,SMB,11062,-27.01,6.98,3.28
Daisy Lk.,,SMB,11063,-26.67,7.71,3.35
Daisy Lk.,,SMB,11064,-27.14,7.42,3.31
Daisy Lk.,,SMB,11065,-26.67,7.06,3.29
Daisy Lk.,,SMB,11066,-26.78,8,3.36
Daisy Lk.,,SMB,11067,-26.99,7.88,3.39
Daisy Lk.,,SMB,11068,-29.27,7.75,3.3
Daisy Lk.,,SMB,11069,-28.3,7.75,3.26
Daisy Lk.,,YPERCH,11070,-29.82,6.18,3.34
Daisy Lk.,,YPERCH,11071,-31.84,5.81,3.32
Daisy Lk.,,YPERCH,11072,-31.73,6.91,3.37
Daisy Lk.,,YPERCH,11073,-32.78,7,3.39
Daisy Lk.,,YPERCH,11074,-31.44,6.1,3.45
Daisy Lk.,,YPERCH,11075,-29.26,6.13,3.3
Daisy Lk.,,YPERCH,11075,-29.25,6.18,3.3
Daisy Lk.,,YPERCH,11076,-34.19,6.06,3.47
Daisy Lk.,,YPERCH,11077,-28.11,6.78,3.33
Daisy Lk.,,YPERCH,11078,-28.3,8.85,3.23
Daisy Lk.,,YPERCH,11079,-25.8,9.98,3.26
Daisy Lk.,,EPH,12002,-25.88,1.69,4.22
Daisy Lk.,,ZOOP,13002,-32.93,3.1,4.47
Daisy Lk.,,PERI,14002,-28.47,2.19,10.53
Daisy Lk.,,PERI,14002,-28.47,2.36,10.13
Daisy Lk.,H,PERI,14007,-27.96,3.62,9.21
Daisy Lk.,I,PERI,14008,-28.26,5.15,9.39
Daisy Lk.,J,PERI,14009,-25.1,2.58,9.88
Daisy Lk.,K,PERI,14010,-25.65,1.16,11.13
Daisy Lk.,N,PERI,14011,-27.8,4.87,10.52
Daisy Lk.,R1,PERI,14012,-27.11,1.83,8.7
Daisy Lk.,R2,PERI,14013,-27.46,2.72,8.27
Daisy Lk.,R3,PERI,14014,-25.17,2.37,9.33
Nelson Lk.,,YPERCH,21810,-28.62,4.52,3.31
Nelson Lk.,,YPERCH,21811,-28.93,4.7,3.53
Nelson Lk.,,YPERCH,21812,-27.56,5.26,3.24
Nelson Lk.,,YPERCH,21813,-26.45,5.7,3.26
Nelson Lk.,,YPERCH,21814,-28.68,5.72,3.19
Nelson Lk.,,YPERCH,21815,-27.56,6.19,3.17
Nelson Lk.,,YPERCH,21815,-27.57,6.15,3.16
Nelson Lk.,,YPERCH,21816,-26.8,6.71,3.18
Nelson Lk.,,SMB,21817,-22.21,5.1,3.36
Nelson Lk.,,SMB,21818,-21.55,5.44,3.37
Nelson Lk.,,SMB,21819,-23.93,5.9,3.37
Nelson Lk.,,SMB,21820,-26.81,6.21,3.27
Nelson Lk.,,SMB,21821,-27.39,6.37,3.31
Nelson Lk.,,SMB,21822,-26.84,6.3,3.26
Nelson Lk.,,PSEED,21823,-26.9,7.83,3.43
Nelson Lk.,,PSEED,21824,-27.32,8.36,3.37
Nelson Lk.,,PSEED,21825,-27.66,8.14,3.37
Nelson Lk.,,PSEED,21826,-29.46,8.3,3.52
Nelson Lk.,,PSEED,21827,-30.93,8.44,3.47
Nelson Lk.,,COSHIN,21828,-27.53,6.88,3.52
Nelson Lk.,,COSHIN,21829,-27.93,6.63,3.41
Nelson Lk.,,COSHIN,21830,-28.44,6.21,3.31
Nelson Lk.,,COSHIN,21831,-28.45,6.65,3.36
Nelson Lk.,,COSHIN,21832,-27.63,6.56,3.35
Nelson Lk.,,WS,21833,-26.06,5.27,3.26
Nelson Lk.,,WS,21833,-26.06,5.3,3.26
Nelson Lk.,,WS,21834,-25.71,5.26,3.21
Nelson Lk.,,BBULL,21835,-23.87,6,3.32
Nelson Lk.,,BUR,21836,-24.56,7.84,3.25
Nelson Lk.,,EPH,12003,-26.97,0.88,4.57
Nelson Lk.,,ZOOP,13003,-34.07,3.6,5.46
Nelson Lk.,,PERI,14003,-25.74,1.59,12.33
Nelson Lk.,A,PERI,14015,-26.21,2.85,10.53
Nelson Lk.,B,PERI,14016,-26.98,0.49,11.71
Nelson Lk.,C,PERI,14017,-29.09,5.05,10.7
Nelson Lk.,,LT,21369,-30.83,7.49,3.39
Nelson Lk.,,LT,21371,-31.12,6.41,3.58
Nelson Lk.,,LT,21372,-32.24,5.9,3.59
Nelson Lk.,,LT,21373,-29.41,8.13,3.54
Nelson Lk.,,LT,21374,-32.38,7.98,3.37
Nelson Lk.,,LT,21375,-32.16,8.07,3.29
Nelson Lk.,,LT,21376,-29.74,8.03,3.62
Nelson Lk.,,LT,21377,-30.5,8.25,3.7
Nelson Lk.,,LT,21378,-31.92,7.75,3.34
Nelson Lk.,,WS,21379,-24.45,6.08,3.41
Nelson Lk.,,WS,21380,-27.75,6.54,3.3
Nelson Lk.,,WS,21381,-23.84,5.39,3.26
Nelson Lk.,,WS,21382,-25.53,4.78,3.29
Nelson Lk.,,WS,21383,-27.08,5.12,3.23
Nelson Lk.,,WS,21384,-26.22,5.22,3.25
Nelson Lk.,,WS,21385,-22.96,4.87,3.27
Nelson Lk.,,WS,21386,-28.26,6.87,3.36
Nelson Lk.,,WS,21387,-27.16,5.69,3.3
Nelson Lk.,,WS,21388,-26.53,7.45,3.58
Nelson Lk.,,BUR,21389,-27.43,9.41,3.31
Nelson Lk.,,SMB,21391,-26.72,7.24,3.33
Nelson Lk.,,SMB,21393,-28.31,7.36,3.27
Nelson Lk.,,SMB,21394,-27.05,7.04,3.28
Nelson Lk.,,SMB,21395,-25.38,7.33,3.38
Nelson Lk.,,SMB,21396,-24.76,7.7,3.32
Nelson Lk.,,SMB,21397,-27.24,7.18,3.23
Nelson Lk.,,SMB,21398,-25.62,7.43,3.28
