"","Water","Water2","TAXON","p_lit","adjp_lit","plit_bound","tp_2","Lake"
"47","Manitou","Reference","SMB",0.693957943925234,0.693957943925234,0.693957943925234,3.95525135239142,"Reference 3"
"48","Manitou","Reference","SMB",0.761303738317757,0.761303738317757,0.761303738317757,3.68982219351292,"Reference 3"
"49","Manitou","Reference","SMB",0.645088785046729,0.645088785046729,0.645088785046729,3.96545930181418,"Reference 3"
"50","Manitou","Reference","SMB",1.31509813084112,1,1.31509813084112,4.14470588235294,"Reference 3"
"51","Manitou","Reference","SMB",0.424869158878504,0.424869158878504,0.424869158878504,4.11123675645959,"Reference 3"
"52","Manitou","Reference","SMB",0.685616822429906,0.685616822429906,0.685616822429906,4.07155781198461,"Reference 3"
"53","Manitou","Reference","SMB",0.544028037383177,0.544028037383177,0.544028037383177,3.64299321605278,"Reference 3"
"54","Manitou","Reference","SMB",0.845093457943925,0.845093457943925,0.845093457943925,3.56224601429357,"Reference 3"
"55","Manitou","Reference","SMB",0.46414953271028,0.46414953271028,0.46414953271028,4.18140068169324,"Reference 3"
"56","Manitou","Reference","SMB",0.643504672897196,0.643504672897196,0.643504672897196,3.65876377130291,"Reference 3"
"57","Manitou","Reference","SMB",0.698191588785047,0.698191588785047,0.698191588785047,3.68095403518417,"Reference 3"
"58","Manitou","Reference","YPERCH",0.452920560747664,0.452920560747664,0.452920560747664,3.41387177020341,"Reference 3"
"59","Manitou","Reference","YPERCH",0.694084112149532,0.694084112149532,0.694084112149532,3.68178670698186,"Reference 3"
"60","Manitou","Reference","YPERCH",0.227163551401869,0.227163551401869,0.227163551401869,3.14504199560198,"Reference 3"
"61","Manitou","Reference","YPERCH",0.698247663551402,0.698247663551402,0.698247663551402,4.59274752611325,"Reference 3"
"62","Manitou","Reference","YPERCH",0.286084112149533,0.286084112149533,0.286084112149533,3.27528788345245,"Reference 3"
"63","Manitou","Reference","YPERCH",0.196280373831775,0.196280373831775,0.196280373831775,3.25565921935129,"Reference 3"
"64","Manitou","Reference","YPERCH",0.501915887850467,0.501915887850467,0.501915887850467,3.3507874106652,"Reference 3"
"65","Manitou","Reference","YPERCH",0.406616822429906,0.406616822429906,0.406616822429906,3.2548084002199,"Reference 3"
"66","Manitou","Reference","YPERCH",0.152990654205607,0.152990654205607,0.152990654205607,3.05990775151182,"Reference 3"
"67","Manitou","Reference","YPERCH",0.685588785046729,0.685588785046729,0.685588785046729,3.56566106652007,"Reference 3"
"68","Manitou","Reference","YPERCH",0.256154205607476,0.256154205607476,0.256154205607476,2.78051210005497,"Reference 3"
"69","Manitou","Reference","YPERCH",0.266471962616822,0.266471962616822,0.266471962616822,3.07404384277075,"Reference 3"
"70","Mendelssohn","Reference","SMB",0.719231638418079,0.719231638418079,0.719231638418079,3.71350878032569,"Reference 1"
"71","Mendelssohn","Reference","SMB",1.56176271186441,1,NA,3.90588235294118,"Reference 1"
"72","Mendelssohn","Reference","SMB",0.773355932203391,0.773355932203391,0.773355932203391,3.5820243668993,"Reference 1"
"73","Mendelssohn","Reference","SMB",0.601649717514125,0.601649717514125,0.601649717514125,3.76466505815886,"Reference 1"
"74","Mendelssohn","Reference","SMB",0.784542372881356,0.784542372881356,0.784542372881356,3.76385068793619,"Reference 1"
