SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
25276,026-00-002,Manitou-2,.,2022,20-Jul,BUR,1,361,361,210.00,MUSCLE,V,10.04,-29.05,3.22,.
25277,026-00-005,Manitou-2,.,2022,20-Jul,BUR,1,424,424,420.00,MUSCLE,V,10.68,-29.49,3.20,.
25278,026-00-008,Manitou-2,.,2022,20-Jul,BUR,1,384,384,310.00,MUSCLE,V,10.23,-29.25,3.25,.
25279,029-00-001,Manitou-2,.,2022,20-Jul,BUR,1,540,540,1800.00,MUSCLE,V,11.30,-28.23,3.22,.
25280,029-00-002,Manitou-2,.,2022,20-Jul,BUR,1,470,470,1150.00,MUSCLE,V,10.91,-28.82,3.24,.
25281,029-00-003,Manitou-2,.,2022,20-Jul,BUR,1,500,500,1000.00,MUSCLE,V,9.45,-28.55,3.21,.
25282,029-00-005,Manitou-2,.,2022,20-Jul,BUR,1,511,511,800.00,MUSCLE,V,11.05,-28.40,3.23,.
25283,029-00-006,Manitou-2,.,2022,20-Jul,BUR,1,569,569,725.00,MUSCLE,V,11.17,-29.05,3.22,.
25284,029-00-007,Manitou-2,.,2022,20-Jul,BUR,1,561,561,625.00,MUSCLE,V,10.26,-28.42,3.21,.
25285,029-00-008,Manitou-2,.,2022,20-Jul,BUR,1,685,685,500.00,MUSCLE,V,9.19,-26.09,3.22,.
25286,104-00-003,Manitou-2,.,2022,20-Jul,BUR,1,616,616,1551.00,MUSCLE,V,11.59,-29.84,3.27,.
25287,104-00-007,Manitou-2,.,2022,20-Jul,BUR,1,568,568,938.00,MUSCLE,V,10.37,-29.85,3.25,.
25288,001-00-001,Manitou-2,.,2022,20-Jul,LT,1,700,760,3841.00,MUSCLE,V,10.99,-28.26,3.37,.
25289,005-00-001,Manitou-2,.,2022,20-Jul,LT,1,507,552,1351.00,MUSCLE,V,9.59,-29.44,3.41,.
25290,006-00-009,Manitou-2,.,2022,20-Jul,LT,1,501,551,1574.00,MUSCLE,V,9.90,-30.23,3.59,.
25291,040-00-001,Manitou-2,.,2022,20-Jul,LT,1,699,766,3808.00,MUSCLE,V,11.54,-29.27,3.51,.
25292,040-00-002,Manitou-2,.,2022,20-Jul,LT,1,480,525,1161.00,MUSCLE,V,9.52,-30.91,3.85,.
25293,041-00-001,Manitou-2,.,2022,20-Jul,LT,1,411,450,763.00,MUSCLE,V,9.56,-30.66,3.48,.
25294,042-00-001,Manitou-2,.,2022,20-Jul,LT,1,442,480,868.00,MUSCLE,V,9.43,-29.76,3.68,.
25295,044-00-001,Manitou-2,.,2022,20-Jul,LT,1,262,290,153.00,MUSCLE,V,9.79,-29.42,3.18,.
25296,047-00-001,Manitou-2,.,2022,20-Jul,LT,1,330,361,348.00,MUSCLE,V,9.81,-29.93,3.24,.
25297,105-00-001,Manitou-2,.,2022,20-Jul,LT,1,690,746,3188.00,MUSCLE,V,11.75,-28.66,3.45,.
25298,007-00-001,Manitou-2,.,2022,20-Jul,SMB,1,152,156,43.00,MUSCLE,V,6.72,-26.65,3.29,.
25299,007-00-002,Manitou-2,.,2022,20-Jul,SMB,1,126,133,26.00,MUSCLE,V,6.74,-27.05,3.30,.
25300,009-00-033,Manitou-2,.,2022,20-Jul,SMB,1,162,167,55.00,MUSCLE,V,6.64,-26.18,3.27,.
25301,030-00-004,Manitou-2,.,2022,20-Jul,SMB,1,149,156,30.00,MUSCLE,V,6.86,-27.72,3.26,.
25302,041-00-005,Manitou-2,.,2022,20-Jul,SMB,1,345,364,583.00,MUSCLE,V,6.06,-25.81,3.50,.
25303,043-00-001,Manitou-2,.,2022,20-Jul,SMB,1,440,460,1162.00,MUSCLE,V,8.83,-28.27,3.24,.
25304,043-00-002,Manitou-2,.,2022,20-Jul,SMB,1,371,392,710.00,MUSCLE,V,8.07,-26.71,3.26,.
25305,045-00-002,Manitou-2,.,2022,20-Jul,SMB,1,392,412,922.00,MUSCLE,V,7.66,-26.70,3.31,.
25306,045-00-004,Manitou-2,.,2022,20-Jul,SMB,1,333,350,485.00,MUSCLE,V,7.78,-26.91,3.17,.
25307,045-00-006,Manitou-2,.,2022,20-Jul,SMB,1,266,270,259.00,MUSCLE,V,7.77,-22.19,3.23,.
25308,052-00-001,Manitou-2,.,2022,20-Jul,SMB,1,415,440,1208.00,MUSCLE,V,8.66,-28.57,3.26,.
25309,041-00-002,Manitou-2,.,2022,20-Jul,WS,1,498,535,1640.00,MUSCLE,V,6.81,-27.34,3.45,.
25310,041-00-003,Manitou-2,.,2022,20-Jul,WS,1,420,451,938.00,MUSCLE,V,5.71,-21.28,3.25,.
25311,041-00-004,Manitou-2,.,2022,20-Jul,WS,1,459,495,1239.00,MUSCLE,V,6.64,-26.00,3.55,.
25312,043-00-003,Manitou-2,.,2022,20-Jul,WS,1,450,456,933.00,MUSCLE,V,7.38,-28.18,3.46,.
25313,043-00-004,Manitou-2,.,2022,20-Jul,WS,1,530,571,1915.00,MUSCLE,V,7.69,-28.69,3.45,.
25314,.,Manitou-2,.,2022,20-Jul,WS,1,.,228,120.00,MUSCLE,V,5.50,-24.31,3.28,.
25315,043-00-006,Manitou-2,.,2022,20-Jul,WS,1,445,474,1354.00,MUSCLE,V,6.21,-24.68,3.35,.
25316,043-00-007,Manitou-2,.,2022,20-Jul,WS,1,502,533,1639.00,MUSCLE,V,6.89,-27.55,3.38,.
25317,043-00-008,Manitou-2,.,2022,20-Jul,WS,1,431,454,1135.00,MUSCLE,V,6.96,-27.48,3.37,.
25318,043-00-009,Manitou-2,.,2022,20-Jul,WS,1,356,378,630.00,MUSCLE,V,5.73,-25.23,3.26,.
25344,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,72,2.52,MUSCLE,V,6.15,-30.26,3.32,.
25345,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,78,3.42,MUSCLE,V,5.72,-30.01,3.29,.
25346,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,80,3.81,MUSCLE,V,9.82,-26.61,3.25,.
25347,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,83,4.63,MUSCLE,V,6.06,-29.56,3.26,.
25348,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,102,10.72,MUSCLE,V,6.35,-26.73,3.28,.
25349,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,115,14.93,MUSCLE,V,5.94,-28.06,3.30,.
25350,.,Manitou-2,.,2022,20-Jul,YPERCH,1,.,125,18.79,MUSCLE,V,5.78,-28.72,3.28,.
25351,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,91,3.87,MUSCLE,V,6.66,-31.25,3.42,.
25352,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,98,2.42,MUSCLE,V,7.39,-31.07,3.56,.
25353,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,96,4.94,MUSCLE,V,7.16,-31.20,3.40,.
25354,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,100,4.54,MUSCLE,V,6.72,-31.04,3.39,.
25355,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,95,5.16,MUSCLE,V,7.33,-31.24,3.40,.
25356,.,Manitou-2,.,2022,20-Jul,RSMELT,1,.,88,4.57,MUSCLE,V,6.65,-31.23,3.36,.
25357,.,Manitou-2,.,2022,20-Jul,LPERCH,1,.,68,2.01,MUSCLE,V,4.94,-30.84,3.58,.
25358,.,Manitou-2,.,2022,20-Jul,LPERCH,1,.,68,.,MUSCLE,V,5.38,-28.20,3.39,.
25359,.,Manitou-2,.,2022,20-Jul,LPERCH,1,.,70,2.04,MUSCLE,V,5.41,-24.29,3.65,.
25360,.,Manitou-2,.,2022,20-Jul,LPERCH,1,.,82,3.85,MUSCLE,V,6.23,-29.12,3.69,.
25361,.,Manitou-2,.,2022,20-Jul,LPERCH,1,.,92,5.55,MUSCLE,V,5.78,-27.04,3.32,.
25362,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,103,6.87,MUSCLE,V,7.08,-31.27,3.42,.
25363,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,118,10.90,MUSCLE,V,6.62,-32.27,3.38,.
25364,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,128,13.24,MUSCLE,V,7.19,-33.05,3.51,.
25365,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,135,18.19,MUSCLE,V,7.17,-33.73,3.59,.
25366,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,138,16.24,MUSCLE,V,9.53,-33.78,3.55,.
