,Water,Water2,TAXON,plit_bound,tp_2
97,Nelson Lk.,Forested Lake,SMB,NA,3.341176471
98,Nelson Lk.,Forested Lake,SMB,0.944746479,3.80873836
99,Nelson Lk.,Forested Lake,SMB,1.005267606,3.594117647
100,Nelson Lk.,Forested Lake,SMB,1.010887324,3.567647059
101,Nelson Lk.,Forested Lake,SMB,0.934774648,3.562525601
102,Nelson Lk.,Forested Lake,YPERCH,0.748549296,2.922368848
103,Nelson Lk.,Forested Lake,YPERCH,0.901070423,3.209091632
104,Nelson Lk.,Forested Lake,YPERCH,0.891309859,3.474812593
105,Nelson Lk.,Forested Lake,YPERCH,0.999746479,3.714503065
106,Nelson Lk.,Forested Lake,YPERCH,0.761535211,2.879816404
107,Nelson Lk.,Forested Lake,YPERCH,1.060197183,3.417647059
108,Nelson Lk.,Forested Lake,YPERCH,0.736352113,3.212611102
109,Stormy,Reference,SMB,0.383998166,3.853022763
110,Stormy,Reference,SMB,0.583677212,4.115829895
111,Stormy,Reference,SMB,0.826776708,4.208536154
112,Stormy,Reference,SMB,0.498784961,4.036257248
113,Stormy,Reference,SMB,0.418592389,4.008647409
114,Stormy,Reference,SMB,0.505754241,4.092109124
115,Stormy,Reference,SMB,0.50784044,3.666509831
116,Stormy,Reference,SMB,0.494108207,3.734304016
117,Stormy,Reference,SMB,0.707473636,3.86459193
118,Stormy,Reference,SMB,0.365176525,3.477514901
119,Stormy,Reference,SMB,0.429413113,3.780813712
120,Stormy,Reference,SMB,0.308115543,3.497801198
121,Stormy,Reference,SMB,0.422627235,3.648567845
122,Stormy,Reference,SMB,0.250550206,3.723759204
123,Stormy,Reference,SMB,0.406740028,3.68310907
124,Stormy,Reference,SMB,0.43388354,3.679739596
125,Stormy,Reference,SMB,0.385878038,3.556749063
126,Stormy,Reference,SMB,0.376547455,3.623440408
127,Stormy,Reference,SMB,0.422673086,3.616234053
128,Stormy,Reference,SMB,0.519463549,4.059599482
129,Stormy,Reference,YPERCH,-0.047294819,3.219117647
130,Stormy,Reference,YPERCH,0.035213205,3.589706691
131,Stormy,Reference,YPERCH,-0.017469051,3.030882353
132,Stormy,Reference,YPERCH,0.085488308,3.254821588
133,Stormy,Reference,YPERCH,-0.113823934,2.848529412
134,Stormy,Reference,YPERCH,0.051169188,3.693429485
135,Stormy,Reference,YPERCH,-0.017698304,3.619117647
136,Stormy,Reference,YPERCH,-0.00609812,3.630882353
137,Stormy,Reference,YPERCH,0.051352591,3.905270788
138,Stormy,Reference,YPERCH,0.152796882,2.877050463
139,Stormy,Reference,YPERCH,0.785167354,4.252922836
140,Stormy,Reference,YPERCH,0.661049977,4.227556167
141,Turtleshell,Reference,SMB,0.424742957,4.31190534
142,Turtleshell,Reference,SMB,0.325119117,3.80599939
143,Turtleshell,Reference,SMB,0.331020647,3.866587345
144,Turtleshell,Reference,SMB,0.221541419,3.743999644
145,Turtleshell,Reference,SMB,0.493287637,4.195971407
146,Turtleshell,Reference,SMB,0.326072056,4.053818042
147,Turtleshell,Reference,SMB,0.17640224,3.634478374
148,Turtleshell,Reference,SMB,0.277522361,3.838636212
149,Turtleshell,Reference,SMB,0.392025412,3.765229674
150,Turtleshell,Reference,SMB,0.471294826,3.166670668
151,Turtleshell,Reference,SMB,0.432190922,3.844314585
152,Turtleshell,Reference,YPERCH,0.578408426,3.852078013
153,Turtleshell,Reference,YPERCH,0.183875282,3.043378203
154,Turtleshell,Reference,YPERCH,0.133779152,2.668139789
